Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,52.349998,53.23,52.349998,52.779999,10700,52.210723
2016-03-31,52.650002,52.75,52.400002,52.59,30400,52.022774
2016-03-30,52.25,53.060001,52.099998,52.860001,20200,52.289862
2016-03-29,50.540001,52.16,50.290001,51.990002,48100,51.429247
2016-03-28,48.880001,50.540001,48.880001,50.299999,15500,49.757473
2016-03-24,48.049999,48.57,47.150002,48.549999,31200,48.026348
2016-03-23,48.970001,49.200001,47.75,47.869999,7200,47.353682
2016-03-22,49.650002,49.650002,48.50,49.00,23800,48.471495
2016-03-21,50.220001,50.41,49.139999,49.299999,42000,48.768258
2016-03-18,50.240002,50.52,48.77,50.41,32700,49.866287
2016-03-17,49.16,49.939999,48.509998,49.939999,11700,49.401355
2016-03-16,48.310001,49.50,48.049999,49.200001,12400,48.669339
2016-03-15,47.50,48.889999,46.959999,48.509998,16700,47.986778
2016-03-14,45.82,47.709999,45.740002,47.43,57900,46.918429
2016-03-11,45.889999,46.48,45.07,46.27,12100,45.770941
2016-03-10,46.669998,47.189999,45.330002,45.509998,13500,45.019136
2016-03-09,46.889999,47.52,45.439999,46.25,29100,45.751156
2016-03-08,47.560001,49.619999,46.689999,46.689999,13100,46.186409
2016-03-07,48.00,49.18,47.209999,47.689999,17900,47.175623
2016-03-04,47.82,47.990002,46.27,47.759998,11700,47.244868
2016-03-03,46.919998,48.169998,46.919998,47.650002,16200,47.136057
2016-03-02,47.150002,47.349998,46.009998,46.939999,11400,46.433712
